#  i        E [GeV]   yield [GeV^-1 ann^-1]
 225   0.190999E+02   0.126476E-01
 226   0.209426E+02   0.103711E-01
 227   0.229631E+02   0.861640E-02
 228   0.251785E+02   0.723407E-02
 229   0.276077E+02   0.614327E-02
 230   0.302712E+02   0.527605E-02
 231   0.331917E+02   0.457000E-02
 232   0.363940E+02   0.395551E-02
 233   0.399052E+02   0.341920E-02
 234   0.437552E+02   0.294270E-02
 235   0.479767E+02   0.251072E-02
 236   0.526054E+02   0.211139E-02
 237   0.576806E+02   0.175698E-02
 238   0.632456E+02   0.144686E-02
 239   0.693474E+02   0.117547E-02
 240   0.760379E+02   0.936885E-03
 241   0.833739E+02   0.723873E-03
 242   0.914176E+02   0.533162E-03
 243   0.100237E+03   0.366769E-03
 244   0.109908E+03   0.226648E-03
 245   0.120512E+03   0.115168E-03
 246   0.132139E+03   0.404304E-04
 247   0.144887E+03   0.980480E-05
 248   0.158866E+03   0.635186E-06
 249   0.174193E+03   0.189083E-07
 250   0.190999E+03   0.181905E-09
