#  i        E [GeV]   yield [GeV^-1 ann^-1]
 227   0.229631E+02   0.386839E-01
 228   0.251785E+02   0.303962E-01
 229   0.276077E+02   0.236696E-01
 230   0.302712E+02   0.182470E-01
 231   0.331917E+02   0.139558E-01
 232   0.363940E+02   0.105928E-01
 233   0.399052E+02   0.794518E-02
 234   0.437552E+02   0.588058E-02
 235   0.479767E+02   0.428758E-02
 236   0.526054E+02   0.309352E-02
 237   0.576806E+02   0.221029E-02
 238   0.632456E+02   0.155159E-02
 239   0.693474E+02   0.106753E-02
 240   0.760379E+02   0.717665E-03
 241   0.833739E+02   0.476330E-03
 242   0.914176E+02   0.312655E-03
 243   0.100237E+03   0.199774E-03
 244   0.109908E+03   0.123828E-03
 245   0.120512E+03   0.741766E-04
 246   0.132139E+03   0.437596E-04
 247   0.144887E+03   0.250871E-04
 248   0.158866E+03   0.130279E-04
 249   0.174193E+03   0.535382E-05
 250   0.190999E+03   0.934045E-06
